,Province/State,Country/Region,Lat,Long,5/29/20
0,,Afghanistan,33.0,65.0,246
1,,Albania,41.1533,20.1683,33
2,,Algeria,28.0339,1.6596,638
3,,Andorra,42.5063,1.5218,51
4,,Angola,-11.2027,17.8739,4
5,,Antigua and Barbuda,17.0608,-61.7964,3
6,,Argentina,-38.4161,-63.6167,520
7,,Armenia,40.0691,45.0382,120
8,Australian Capital Territory,Australia,-35.4735,149.0124,3
9,New South Wales,Australia,-33.8688,151.2093,48
10,Northern Territory,Australia,-12.4634,130.8456,0
11,Queensland,Australia,-28.0167,153.4,7
12,South Australia,Australia,-34.9285,138.6007,4
13,Tasmania,Australia,-41.4545,145.9707,13
14,Victoria,Australia,-37.8136,144.9631,19
15,Western Australia,Australia,-31.9505,115.8605,9
16,,Austria,47.5162,14.5501,668
17,,Azerbaijan,40.1431,47.5769,58
18,,Bahamas,25.0343,-77.3963,11
19,,Bahrain,26.0275,50.55,15
20,,Bangladesh,23.685,90.3563,582
21,,Barbados,13.1939,-59.5432,7
22,,Belarus,53.7098,27.9534,224
23,,Belgium,50.8333,4.0,9430
24,,Benin,9.3077,2.3158,3
25,,Bhutan,27.5142,90.4336,0
26,,Bolivia,-16.2902,-63.5887,300
27,,Bosnia and Herzegovina,43.9159,17.6791,153
28,,Brazil,-14.235,-51.9253,27878
29,,Brunei,4.5353,114.7277,2
30,,Bulgaria,42.7339,25.4858,136
31,,Burkina Faso,12.2383,-1.5616,53
32,,Cabo Verde,16.5388,-23.0418,4
33,,Cambodia,11.55,104.9167,0
34,,Cameroon,3.8480000000000003,11.5021,177
35,Alberta,Canada,53.9333,-116.5765,143
36,British Columbia,Canada,49.2827,-123.1207,164
37,Grand Princess,Canada,37.6489,-122.6655,0
38,Manitoba,Canada,53.7609,-98.8139,7
39,New Brunswick,Canada,46.5653,-66.4619,0
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,3
41,Nova Scotia,Canada,44.681999999999995,-63.7443,59
42,Ontario,Canada,51.2538,-85.3232,2313
43,Prince Edward Island,Canada,46.5107,-63.4168,0
44,Quebec,Canada,52.9399,-73.5491,4363
45,Saskatchewan,Canada,52.9399,-106.4509,10
46,,Central African Republic,6.6111,20.9394,1
47,,Chad,15.4542,18.7322,65
48,,Chile,-35.6751,-71.543,944
49,Anhui,China,31.8257,117.2264,6
50,Beijing,China,40.1824,116.4142,9
51,Chongqing,China,30.0572,107.874,6
52,Fujian,China,26.0789,117.9874,1
53,Gansu,China,37.8099,101.0583,2
54,Guangdong,China,23.3417,113.4244,8
55,Guangxi,China,23.8298,108.7881,2
56,Guizhou,China,26.8154,106.8748,2
57,Hainan,China,19.1959,109.7453,6
58,Hebei,China,39.549,116.1306,6
59,Heilongjiang,China,47.861999999999995,127.7615,13
60,Henan,China,33.882,113.61399999999999,22
61,Hong Kong,China,22.3,114.2,4
62,Hubei,China,30.9756,112.2707,4512
